zpid,street,zipcode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,totalRooms,lastSoldDate,lastSoldPrice,zest,zestlow,zesthigh,percentile,zindexValue,numFloors,roof,exteriorMaterial,parkingType,heatingSources,heatingSystem,coolingSystem,floorCovering,architecture,basement,coveredParkingSpaces,adjLastSoldPrice,adjTaxAssessment,medianUSpriceAssessmentYear,medianUSpriceLastSoldDate,medianUSpriceThisYear
73454405,4404 Malcolm Rd,40216,2013,85170,1952,10454,1074,2,3,6,2017-05-15,105e3,105927,97453,111223,69,124100,1,Other,Vinyl,Garage - Detached,Gas,Forced air,Central,NA,Ranch / Rambler,NA,1,97407.29295426451,96450.0265946411,265091,323600,300200
73588778,705 E Kentucky St,40203,2013,57010,1900,5336,2185,3,4,10,2017-05-02,147500,150431,139901,157953,88,87400,NA,Other,Other,None,None,Other,Central,Other,Other,NA,NA,136834.0543881335,64560.47923166007,265091,323600,300200
73590899,1016 E Oak St,40204,2013,92240,1910,10890,1036,1,2,2,2017-04-18,16e4,163606,155426,171786,59,122600,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,154394.08550305368,104456.38667476452,265091,311100,300200
73607726,1126 Charles St,40204,2013,134e3,1905,4356,1390,2,3,6,2017-10-03,198e3,201516,191440,211592,65,122600,NA,Other,Vinyl,NA,Gas,NA,Central,NA,Ranch / Rambler,NA,NA,NA,151747.1358891852,265091,NA,300200
73590792,1028 Samuel St,40204,2013,89900,1923,4791,1939,3,3,5,2017-03-08,294900,221179,192426,249932,69,122600,NA,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,Other,Other,NA,NA,275191.1097295617,101806.4740032668,265091,321700,300200
73668425,1220 Barret Ave,40204,2013,61980,1924,5248,1190,2,2,NA,2017-06-08,8e4,213759,203071,228722,67,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75927.91653493518,70188.7125553112,265091,316300,300200
73590598,1100 Fischer Ave,40204,2013,63660,1900,4791,896,1,2,4,2017-07-17,81e3,120208,108187,127420,43,122600,NA,Shake / Shingle,Vinyl,NA,Gas,Forced air,Central,Other,Other,NA,NA,76011.87871209753,72091.21396048904,265091,319900,300200
73602087,1047 Mary St,40204,2013,75990,1900,10454,1662,2,3,NA,2017-06-20,256e3,232169,218239,243777,71,122600,NA,Shake / Shingle,NA,Off-street,NA,Forced air,NA,NA,Other,NA,NA,242969.33291179262,86054.2153449193,265091,316300,300200
73602135,1060 E Saint Catherine St,40204,2013,69900,1900,3484,1100,2,2,NA,2017-06-15,187500,181428,172357,194128,62,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177956.05437875434,79157.6477511496,265091,316300,300200
73601220,1218 Lexington Rd,40204,2013,78720,1900,5624,1105,1,2,4,2017-03-30,85e3,95818,83362,106358,19,NA,NA,Metal,Vinyl,"None, Off-street",Gas,Forced air,NA,Other,Other,NA,NA,79319.2415293752,89145.7801283333,265091,321700,300200
73608332,976 Rubel Ave,40204,2013,175900,1900,3049,1300,2,2,NA,2017-08-04,21e4,211196,200636,221756,67,183200,1,Shake / Shingle,"Brick, Vinyl",NA,Gas,Forced air,Central,"Hardwood, Tile",Other,NA,NA,21e4,199196.42688737076,265091,300200,300200
73618441,959 Baxter Ave UNIT 103,40204,2013,188990,2001,NA,1600,2.5,2,NA,2017-07-11,184075,186266,176953,195579,63,374300,3,"Asphalt, Shake / Shingle",Brick,"Carport, Off-street, On-street",Gas,Other,Central,"Hardwood, Tile",Other,NA,1,172739.3404188809,214020.08366938145,265091,319900,300200
73662456,1206 Payne St,40204,2013,87570,1870,3484,848,1,2,NA,2016-12-12,136e3,142294,135179,149409,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124853.82262996942,99167.88574489515,265091,327e3,300200
73662462,1236 Hull St,40204,2013,112750,1900,2557,789,1,1,5,2017-04-26,125e3,129334,122867,135801,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120620.37929926069,127682.7579963107,265091,311100,300200
73600376,813 Swan St,40204,2013,27340,1913,2509,725,1,1,NA,2017-04-04,12e4,122605,116475,128735,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115795.56412729026,30960.94548664421,265091,311100,300200
73600953,824 E Chestnut St,40204,2009,115e3,1900,3484,950,2,1,NA,2017-03-09,129e3,NA,NA,NA,0,112900,1,Shake / Shingle,Brick,Off-street,Gas,Other,Central,NA,Other,NA,NA,120378.61361516942,160946.38694638695,214500,321700,300200
53226277,3217 Evergreen Cir,47130,1999,28370,1976,NA,2268,2.5,4,8,2017-03-23,224e3,NA,NA,NA,0,104e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209029.53061858876,53282.16164813784,159841,321700,300200
73607064,938 Vine St,40204,2013,82e3,1900,4791,1300,1,3,NA,2017-04-05,115e3,153009,133118,160659,56,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110970.74895531982,92860.18763368051,265091,311100,300200
73603069,1425 Goddard Ave,40204,2013,278670,1920,10097,2409,2,4,6,2016-11-15,374900,393887,366315,413581,90,298800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357285.65079365077,315577.420583875,265091,315e3,300200
73607914,1212 E Kentucky St,40204,2013,116500,1913,4791,1264,1,2,NA,2017-06-29,152e3,164202,155992,172412,59,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144263.04141637686,131929.41291858268,265091,316300,300200
73607916,1133 Julia Ave,40204,2013,87090,1928,5837,1152,1,1,NA,2017-06-27,132e3,144140,131167,155671,54,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125281.06228264306,98624.31391484434,265091,316300,300200
73607932,1101 Julia Ave,40204,2013,71280,1919,5205,936,1,1,NA,2017-06-15,186e3,183825,167281,193016,63,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176532.40594372433,80720.41676254569,265091,316300,300200
73608308,1417 Hepburn Ave,40204,2013,188070,1900,8712,2888,2,4,NA,2016-12-27,194e3,255653,209635,327236,75,183200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178100.30581039755,212978.23766178408,265091,327e3,300200
