FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
318,R5A,RES MULTI FAMILY,RESIDENTIAL,4219.33386389,915878.375586,8.763321939e-06,0.013543835054631
319,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,512.88652735,13255.582125,1.2676612e-07,0.001632961770011
320,R5A,RES MULTI FAMILY,RESIDENTIAL,1523.82447404,140356.95972,1.342298943e-06,0.004643277884938
321,OR3,OFFICE/RES,OFFICE,464.588743537,10389.7306781,9.9280422e-08,0.00140299160318
322,OR2,OFFICE/RES,OFFICE,535.252199568,16963.207075,1.62098123e-07,0.001673504554565
323,OR2,OFFICE/RES,OFFICE,628.577482264,22830.7998094,2.18164378e-07,0.001946166159961
324,R5A,RES MULTI FAMILY,RESIDENTIAL,3011.194629,490411.26542,4.680609303e-06,0.009434731266888
325,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,534.216568041,14184.8340453,1.35543922e-07,0.001596680975841
326,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2269.25309566,181445.4326,1.732912203e-06,0.007389104405458
327,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2113.95839459,257211.83914,2.45897587e-06,0.00681440134367
328,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4141.84150514,617872.976108,5.904031386e-06,0.012885845771027
329,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,526.144872587,14893.45665,1.42310131e-07,0.001709798749768
