FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
140,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4418.22727594,1144678.60775,1.0940638989e-05,0.013865137977606
141,R7,RES MULTI-FAMILY,RESIDENTIAL,2089.81503653,141772.020363,1.355035459e-06,0.006821587249661
142,R7,RES MULTI-FAMILY,RESIDENTIAL,10629.0995977,3063870.96469,2.9282876224e-05,0.033068028268965
143,R7,RES MULTI-FAMILY,RESIDENTIAL,1703.96635223,172818.69626,1.651793193e-06,0.005476509905815
144,R4,RES SINGLE FAMILY,RESIDENTIAL,10603.8629648,2414546.08789,2.3077990156e-05,0.0342747658776
145,OTF,OFFICE/TOURIST FACILITY,OFFICE,1452.66309258,109082.658691,1.04264644e-06,0.00459626732422
146,R6,RES MULTI-FAMILY,RESIDENTIAL,3179.32032037,243556.9671,2.327891375e-06,0.009706326223228
147,OR1,OFFICE/RES,OFFICE,2369.83290691,168417.723036,1.60977812e-06,0.007087570617388
148,R6,RES MULTI-FAMILY,RESIDENTIAL,4384.56266376,1120147.92436,1.0706541598e-05,0.014080129100992
149,OR3,OFFICE/RES,OFFICE,1255.36742745,86422.5428172,8.26027744e-07,0.00404127234214
150,OR1,OFFICE/RES,OFFICE,2236.30358124,223722.168588,2.13843672e-06,0.007331577256372
151,OR3,OFFICE/RES,OFFICE,1285.14879295,59411.4496031,5.67867315e-07,0.004034034828558
152,OR1,OFFICE/RES,OFFICE,1697.14711885,81099.5059344,7.75183181e-07,0.005182829350079
153,R5,RES SINGLE FAMILY,RESIDENTIAL,1132.21722245,69279.4007937,6.62201421e-07,0.003621415702881
154,R4,RES SINGLE FAMILY,RESIDENTIAL,3587.26378009,397941.09168,3.803626171e-06,0.011380995950315
155,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2711.20912862,208256.87799,1.99055932e-06,0.008417822876574
156,R6,RES MULTI-FAMILY,RESIDENTIAL,538.454224108,16628.7564563,1.58943836e-07,0.001640242263952
157,R6,RES MULTI-FAMILY,RESIDENTIAL,1185.54391312,90942.3432094,8.69276651e-07,0.003627528132607
158,R6,RES MULTI-FAMILY,RESIDENTIAL,3385.11662538,443129.98861,4.235638375e-06,0.010645390392856
159,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,829.579205667,42645.4229937,4.0762778e-07,0.002550307687539
160,R2,RES SINGLE FAMILY,RESIDENTIAL,1411.44395518,122484.627863,1.170770416e-06,0.004441354141538
161,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2327.63616688,219466.132752,2.097700566e-06,0.00723267434447
162,R7,RES MULTI-FAMILY,RESIDENTIAL,2041.89265594,236871.881644,2.264140828e-06,0.006403954425617
163,(OR1),OFFICE/RES OVERLAY,OFFICE,548.14617671,16759.3105367,1.60201542e-07,0.001685657384266
164,OR3,OFFICE/RES,OFFICE,1411.96153592,67628.5709156,6.46466689e-07,0.004174911763936
165,R7,RES MULTI-FAMILY,RESIDENTIAL,534.283382156,14373.7991547,1.373981e-07,0.001646790726682
166,R3,RES SINGLE FAMILY,RESIDENTIAL,4744.34465959,1342774.66516,1.2835206823e-05,0.014921684520814
167,R2,RES SINGLE FAMILY,RESIDENTIAL,9115.97226168,2590661.24782,2.4763039757e-05,0.02876440793334
168,R5A,RES MULTI FAMILY,RESIDENTIAL,1225.18854871,91197.25825,8.72022553e-07,0.003797669163987
169,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1027.10146163,59206.0008133,5.65930649e-07,0.003120462348447
170,R4,RES SINGLE FAMILY,RESIDENTIAL,1824.74583297,124706.50979,1.1920497e-06,0.005940613366345
171,OR2,OFFICE/RES,OFFICE,521.667274295,16071.2385133,1.53621065e-07,0.001617265994428
172,R7,RES MULTI-FAMILY,RESIDENTIAL,567.940995517,19692.7648125,1.88233615e-07,0.001765439784435
173,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1100.8703409,57537.3097281,5.49969225e-07,0.003454338489627
174,R5A,RES MULTI FAMILY,RESIDENTIAL,2441.89097084,227979.94945,2.180053481e-06,0.007319832626447
175,R4,RES SINGLE FAMILY,RESIDENTIAL,2818.99988497,369297.712538,3.529968032e-06,0.008816864249058
176,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,977.729711599,31708.4461289,3.03084639e-07,0.003214577646146
177,OR3,OFFICE/RES,OFFICE,3351.61917893,541222.55156,5.173322143e-06,0.010328812059969
178,R7,RES MULTI-FAMILY,RESIDENTIAL,633.289260516,23218.7593344,2.21934876e-07,0.001929563079817
179,OR3,OFFICE/RES,OFFICE,1304.84603644,95766.0717,9.15393721e-07,0.004071354390495
180,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3150.38214979,358073.683069,3.422707438e-06,0.009734938897548
181,R7,RES MULTI-FAMILY,RESIDENTIAL,2232.11473879,228314.944588,2.182303015e-06,0.006869904488386
182,R5,RES SINGLE FAMILY,RESIDENTIAL,6301.0711566,1417825.46946,1.3551764945e-05,0.020174602883851
